,X_WGS84,Y_WGS84,geutri
835,-153.68,61.49,0
836,-153.52,60.62,0
837,-153.3,65.53,0
838,-153.26,63.36,0
839,-153.22,68.53,0
840,-153.14,70.29,0
841,-152.42,63.43,0
842,-152.31,61.91,0
843,-152,69.14,0
844,-151.93,63.93,0
845,-151.66,62.33,0
846,-151.47,68.34,0
847,-151.35,66.13,0
848,-151.28,69.75,0
849,-151.24,64.46,0
850,-151.192595,63.114803,0
851,-151.05,67.62,0
852,-151.01,61.68,0
853,-150.94,66.44,0
854,-150.86,66.82,0
855,-150.67,69.37,0
856,-150.63,62.86,0
857,-150.52,65.79,0
858,-150.48,68.61,0
859,-150.4,61.8,0
860,-150.17,64.23,0
861,-150.06,67.16,0
862,-150.02,65.15,0
863,-149.95,62.29,0
864,-149.87,69.45,0
865,-149.79,69.94,0
866,-149.64,66.63,0
867,-149.6,63.47,0
868,-149.53,68.15,0
869,-149.49,61.83,0
870,-149.45,62.67,0
871,-149.34,65.87,0
872,-149.23,67.63,0
873,-149.11,69.45,0
874,-148.73,62.33,0
875,-148.54,63.55,0
876,-148.46,66.29,0
877,-148.439042,61.788505,0
878,-148.42,67.13,0
879,-148.27,62.79,0
880,-148.08,69.26,0
881,-147.89,68.15,0
882,-147.74,62.06,0
883,-147.62,65.83,0
884,-147.59,69.07,0
885,-147.47,66.63,0
886,-147.43,63.51,0
887,-147.39,67.66,0
888,-147.13,62.56,0
889,-146.94,61.95,0
890,-146.79,65.49,0
891,-146.63,68,0
892,-146.56,69.35,0
893,-146.37,63.2,0
894,-146.33,65.87,0
895,-146.25,67.01,0
896,-146.155564,64.256775,0
897,-145.644103,64.148606,0
898,-145.53,64.92,0
899,-145.49,68.42,0
900,-145.405272,62.038106,0
901,-145.26,61.34,0
902,-145.156578,66.920676,0
903,-145.151818,66.7229,0
904,-144.77,69.26,0
905,-144.69,65.87,0
906,-144.58,68.65,0
907,-144.332108,61.521197,0
908,-144.2,66.97,0
909,-144.12,63.89,0
910,-144.04,64.96,0
911,-143.89,60.73,0
912,-143.85,69.45,0
913,-143.78,67.05,0
914,-143.4,67.7,0
915,-143.36,62.71,0
